"Red","Orange","Yellow","Green","Blue","Violet","concentration"
1641,9337,10172,2393,141,147,"0.5"
684,2787,3157,550,53,49,"0.5"
1039,7684,8974,2528,105,113,"0.5"
644,2914,4186,945,56,53,"0.5"
408,1143,1605,221,27,25,"0.5"
549,2519,3745,860,49,46,"0.5"
472,1989,2816,593,42,36,"0.5"
955,4960,7077,1880,91,86,"0.5"
636,3776,4181,1164,61,56,"0.5"
924,5307,4838,1249,74,73,"1"
638,2608,4011,741,55,51,"1"
586,2310,3721,625,48,51,"1"
838,3786,6522,1228,80,77,"1"
398,1196,1758,265,28,25,"1"
512,2172,3399,745,44,43,"1"
466,1986,2534,534,39,34,"1"
947,4967,7104,1856,91,86,"1"
189,724,827,141,15,13,"2"
499,1357,1888,208,35,32,"2"
784,4721,4808,1008,69,68,"2"
533,2514,2791,595,43,41,"2"
350,1302,2250,221,33,27,"2"
1056,6056,8008,2256,105,99,"2"
514,2590,2990,679,46,43,"2"
557,2559,4053,901,51,49,"2"
391,1793,2027,451,32,29,"2"
990,4627,6467,1254,86,88,"4"
392,887,2132,177,32,29,"4"
928,4867,6516,1662,86,82,"4"
992,5515,7147,1898,92,90,"4"
619,3514,4906,1247,60,60,"4"
54,1468,2332,307,39,35,"4"
1320,9099,10928,3229,134,137,"4"
609,3730,4016,1034,58,55,"4"
523,2503,3916,866,47,46,"4"
805,1808,3584,319,76,50,"6"
805,3803,5573,1014,70,71,"6"
528,1827,3163,447,42,44,"6"
764,5571,5974,1641,75,79,"6"
804,6094,6156,1767,86,82,"6"
431,1838,2098,489,33,30,"6"
613,3318,4574,1136,57,56,"6"
466,1627,2037,360,35,32,"6"
1044,7522,8908,2619,110,111,"6"
393,1630,1950,404,29,28,"6"
815,2936,4524,520,67,64,"8"
842,3544,5285,1006,69,76,"8"
661,3358,4229,937,58,55,"8"
540,2523,2709,623,43,40,"8"
571,1129,2604,289,44,32,"8"
582,2597,3046,658,45,44,"8"
578,3128,4312,1004,53,53,"8"
470,1939,2214,507,36,32,"8"
933,5811,7258,1962,92,90,"8"
1161,7811,8538,2398,113,115,"10"
305,773,1911,265,27,22,"10"
537,2380,2693,554,43,40,"10"
1092,6013,7592,2066,102,97,"10"
1869,11584,14345,4161,182,183,"10"
879,5092,6707,1818,87,82,"10"
648,3828,4009,1145,55,53,"10"
703,5030,5881,1597,71,75,"10"
280,830,1247,177,20,17,"10"
